TQ,DI
0.21369863,1
0.287671233,2
0.232876712,2
0.21369863,1
0.21369863,1
0.364383562,1
0.287671233,2
0.232876712,2
0.230136986,2
0.290410959,1
0.364383562,1
0.232876712,2
0.301369863,1
0.232876712,2
0.216438356,2
0.208219178,2
0.232876712,1
0.216438356,2
0.290410959,1
0.290410959,1
0.290410959,1
0.24109589,1
0.24109589,1
0.287671233,1
0.115068493,1
0.21369863,1
0.21369863,1
0.21369863,1
0.290410959,1
0.263013699,2
0.24109589,1
0.347945205,1
0.254794521,2
0.232876712,2
0.115068493,1
0.301369863,1
0.243835616,2
0.243835616,2
0.265753425,2
0.232876712,2
0.238356164,2
0.238356164,2
0.238356164,2
0.238356164,2
0.210958904,2
0.331506849,2
0.21369863,2
0.268493151,2
0.265753425,2
0.265753425,2
0.331506849,1
0.331506849,1
0.265753425,2
0.268493151,2
0.331506849,1
0.268493151,2
0.235616438,2
0.268493151,2
0.235616438,2
0.235616438,2
0.260273973,2
0.260273973,2
0.260273973,2
0.271232877,2
0.271232877,2
0.235616438,2
0.230136986,2
0.230136986,2
0.230136986,2
0.230136986,2
0.230136986,2
0.230136986,2
0.230136986,2
0.230136986,2
0.230136986,2
0.230136986,2
0.230136986,2
0.271232877,2
0.271232877,2
0.271232877,2
0.271232877,2
0.298630137,1
0.304109589,1
0.304109589,1
0.276712329,2
0.276712329,2
0.276712329,2
0.260273973,2
0.260273973,2
0.260273973,2
0.252054795,1
0.271232877,1
0.271232877,1
0.271232877,2
0.271232877,2
0.268493151,2
0.268493151,2
0.268493151,2
0.271232877,2
0.271232877,2
0.271232877,2
0.271232877,2
0.271232877,2
0.334246575,1
0.287671233,1
0.287671233,1
0.334246575,1
0.334246575,1
0.216438356,2
0.216438356,1
0.216438356,2
0.216438356,1
0.298630137,2
0.298630137,2
0.298630137,1
0.369863014,1
0.334246575,1
0.287671233,1
0.287671233,2
0.287671233,2
0.287671233,2
0.287671233,2
0.287671233,2
0.287671233,2
0.287671233,2
0.287671233,1
0.287671233,1
0.287671233,1
0.304109589,1
0.252054795,1
0.252054795,1
0.252054795,1
0.252054795,1
0.252054795,1
0.252054795,1
0.252054795,1
0.252054795,1
0.304109589,1
0.326027397,2
0.326027397,2
0.326027397,2
0.326027397,2
0.326027397,2
0.326027397,2
0.326027397,1
0.326027397,1
0.326027397,2
0.326027397,2
0.383561644,1
0.383561644,1
0.298630137,1
0.298630137,1
0.298630137,1
0.298630137,1
0.369863014,1
0.243835616,2
0.260273973,2
0.210958904,2
0.257534247,2
0.268493151,2
0.216438356,2
0.238356164,2
0.252054795,1
0.252054795,1
0.243835616,2
0.238356164,2
0.232876712,2
0.24109589,2
0.265753425,2
0.331506849,2
0.238356164,2
0.326027397,1
0.268493151,2
0.298630137,1
0.243835616,2
0.287671233,1
0.298630137,1
0.271232877,2
0.331506849,2
0.298630137,1
0.298630137,1
0.334246575,1
0.271232877,2
0.331506849,2
0.260273973,2
0.287671233,1
0.334246575,1
0.243835616,2
0.252054795,1
0.243835616,2
0.243835616,2
0.24109589,2
0.331506849,2
0.210958904,2
0.287671233,2
0.287671233,2
0.287671233,2
0.216438356,2
0.216438356,2
0.271232877,2
0.326027397,2
0.298630137,1
0.298630137,1
0.298630137,1
0.287671233,1
0.268493151,2
0.216438356,1
